Protein1,Protein2
tr|A0A4D6K3L8|A0A4D6K3L8_DROME,XBmRNA45001|XBXL10_1g24065
tr|Q9VR64|Q9VR64_DROME,XBmRNA77963|XBXL10_1g41316
sp|Q9VH48|CARM1_DROME,XBmRNA26749|XBXL10_1g14184
tr|Q8MRD1|Q8MRD1_DROME,XBmRNA76531|XBXL10_1g40647
tr|Q9VR38|Q9VR38_DROME,XBmRNA36695|XBXL10_1g19837
tr|Q9VBQ7|Q9VBQ7_DROME,XBmRNA19584|XBXL10_1g10471
sp|Q9VRQ7|DPOE2_DROME,XBmRNA67761|XBXL10_1g35861
sp|Q9VWV9|PORCN_DROME,XBmRNA64328|XBXL10_1g34108
tr|Q9VV60|Q9VV60_DROME,XBmRNA19000|XBXL10_1g10173
tr|A0A0B4KHF1|A0A0B4KHF1_DROME,XBmRNA1226|XBXL10_1g840
tr|M9PBV2|M9PBV2_DROME,XBmRNA67377|XBXL10_1g35692
tr|Q9VE24|Q9VE24_DROME,XBmRNA74718|XBXL10_1g39718
sp|Q9VQN8|FIGL1_DROME,XBmRNA51222|XBXL10_1g27334
sp|A1Z6J5|TBCE_DROME,XBmRNA43332|XBXL10_1g23253
tr|Q9VBE7|Q9VBE7_DROME,XBmRNA59087|XBXL10_1g31233
tr|Q9VHS0|Q9VHS0_DROME,XBmRNA63856|XBXL10_1g33811
tr|Q9VRD9|Q9VRD9_DROME,XBmRNA11217|XBXL10_1g6003
tr|Q9VG60|Q9VG60_DROME,XBmRNA73102|XBXL10_1g38753
sp|Q94517|HDAC1_DROME,XBmRNA18870|XBXL10_1g10103
tr|O46050|O46050_DROME,XBmRNA44944|XBXL10_1g24021
sp|Q9VHB9|TRM44_DROME,XBmRNA772|XBXL10_1g648
tr|Q9VLC5|Q9VLC5_DROME,XBmRNA5107|XBXL10_1g2863
sp|Q9VQB7|EOGT_DROME,XBmRNA37205|XBXL10_1g20085
tr|Q9VHF6|Q9VHF6_DROME,XBmRNA24693|XBXL10_1g13033
tr|Q9VSW1|Q9VSW1_DROME,XBmRNA46292|XBXL10_1g24801
sp|Q7KW39|MMSA_DROME,XBmRNA67379|XBXL10_1g35694
tr|Q9VH81|Q9VH81_DROME,XBmRNA72154|XBXL10_1g38194
tr|A8E6R2|A8E6R2_DROME,XBmRNA5917|XBXL10_1g3271
sp|Q9W133|ADCK_DROME,XBmRNA67470|XBXL10_1g35739
sp|P29775|ETS4_DROME,XBmRNA18130|XBXL10_1g9705
tr|Q9VRP4|Q9VRP4_DROME,XBmRNA73424|XBXL10_1g38900
tr|Q7K231|Q7K231_DROME,XBmRNA9837|XBXL10_1g5290
sp|Q9VCD0|GATB_DROME,XBmRNA1543|XBXL10_1g992
tr|Q9VFB3|Q9VFB3_DROME,XBmRNA38908|XBXL10_1g21031
sp|Q9W058|SCOT_DROME,XBmRNA5857|XBXL10_1g3235
sp|Q9VYG2|BAP60_DROME,XBmRNA15689|XBXL10_1g8307
sp|Q9VL59|ZGPAT_DROME,XBmRNA74365|XBXL10_1g39456
tr|Q9VRA1|Q9VRA1_DROME,XBmRNA24719|XBXL10_1g13045
tr|Q9NHN2|Q9NHN2_DROME,XBmRNA31054|XBXL10_1g16538
tr|Q9VZP8|Q9VZP8_DROME,XBmRNA66396|XBXL10_1g35169
tr|Q9W2H0|Q9W2H0_DROME,XBmRNA41377|XBXL10_1g22257
tr|Q7JYQ4|Q7JYQ4_DROME,XBmRNA4079|XBXL10_1g2208
sp|P00399|COX1_DROME,XBmRNA101821|XBXL10_1g44447
sp|Q9W3V8|ALG8_DROME,XBmRNA20906|XBXL10_1g11128
sp|Q27333|NT56_DROME,XBmRNA47997|XBXL10_1g25678
sp|P20228|DCE_DROME,XBmRNA81834|XBXL10_1g43495
tr|Q8IQI5|Q8IQI5_DROME,XBmRNA1676|XBXL10_1g1080
tr|Q9VTZ7|Q9VTZ7_DROME,XBmRNA34677|XBXL10_1g18808
tr|Q9VMT4|Q9VMT4_DROME,XBmRNA998|XBXL10_1g741
tr|Q9VE18|Q9VE18_DROME,XBmRNA8014|XBXL10_1g4324
tr|Q8IQD3|Q8IQD3_DROME,XBmRNA18655|XBXL10_1g9985
tr|Q9VBP6|Q9VBP6_DROME,XBmRNA55214|XBXL10_1g29380
sp|Q9VE09|GATA_DROME,XBmRNA43884|XBXL10_1g23508
tr|Q9V3D9|Q9V3D9_DROME,XBmRNA68367|XBXL10_1g36121
sp|O44081|DKC1_DROME,XBmRNA65670|XBXL10_1g34737
tr|Q7JZ56|Q7JZ56_DROME,XBmRNA12482|XBXL10_1g6656
tr|Q9VIF6|Q9VIF6_DROME,XBmRNA36291|XBXL10_1g19611
sp|Q9V7P1|UTP18_DROME,XBmRNA74800|XBXL10_1g39760
sp|Q9VIW7|RTCB_DROME,XBmRNA27998|XBXL10_1g15033
sp|Q9VYG1|PSMD5_DROME,XBmRNA64760|XBXL10_1g34328
sp|Q9VPN2|AMNLS_DROME,XBmRNA67900|XBXL10_1g35927
tr|Q9VPM1|Q9VPM1_DROME,XBmRNA74771|XBXL10_1g39743
tr|Q7KLW9|Q7KLW9_DROME,XBmRNA62407|XBXL10_1g33057
tr|Q9VVL7|Q9VVL7_DROME,XBmRNA30178|XBXL10_1g16113
tr|Q9VAP6|Q9VAP6_DROME,XBmRNA68152|XBXL10_1g36038
tr|Q95U38|Q95U38_DROME,XBmRNA15074|XBXL10_1g7972
sp|O46106|NOI_DROME,XBmRNA18841|XBXL10_1g10080
tr|Q9VTN7|Q9VTN7_DROME,XBmRNA10634|XBXL10_1g5670
tr|Q9VUM1|Q9VUM1_DROME,XBmRNA63480|XBXL10_1g33616
sp|Q05652|KPEL_DROME,XBmRNA23692|XBXL10_1g12645
tr|Q9VQL1|Q9VQL1_DROME,XBmRNA13121|XBXL10_1g7014
sp|P15007|ENO_DROME,XBmRNA59042|XBXL10_1g31212
sp|Q9VPK7|PUS10_DROME,XBmRNA46269|XBXL10_1g24790
sp|P36872|2ABA_DROME,XBmRNA57032|XBXL10_1g30288
tr|Q9W282|Q9W282_DROME,XBmRNA78283|XBXL10_1g41484
sp|Q9VYB7|TPST_DROME,XBmRNA4510|XBXL10_1g2579
tr|Q9VUR1|Q9VUR1_DROME,XBmRNA20346|XBXL10_1g10812
sp|Q8T088|WDR55_DROME,XBmRNA22630|XBXL10_1g12134
sp|Q9VPD3|PTSS_DROME,XBmRNA52949|XBXL10_1g28199
sp|Q9W3J5|SYFA_DROME,XBmRNA26833|XBXL10_1g14225
tr|Q9VHA8|Q9VHA8_DROME,XBmRNA14844|XBXL10_1g7870
tr|Q95WY3|Q95WY3_DROME,XBmRNA41|XBXL10_1g27
sp|P54399|PDI_DROME,XBmRNA80431|XBXL10_1g42783
sp|Q9VTJ4|FUCO_DROME,XBmRNA43491|XBXL10_1g23327
sp|Q9VU95|AGT2L_DROME,XBmRNA1742|XBXL10_1g1116
tr|Q86NX3|Q86NX3_DROME,XBmRNA23374|XBXL10_1g12492
tr|Q8SYL0|Q8SYL0_DROME,XBmRNA80285|XBXL10_1g42703
tr|Q9VWP1|Q9VWP1_DROME,XBmRNA25752|XBXL10_1g13557
sp|P25161|PSMD3_DROME,XBmRNA79368|XBXL10_1g42223
sp|Q01637|UMPS_DROME,XBmRNA75989|XBXL10_1g40415
tr|Q9VC87|Q9VC87_DROME,XBmRNA8655|XBXL10_1g4657
sp|Q7KN79|LTV1_DROME,XBmRNA43485|XBXL10_1g23324
tr|Q9VG79|Q9VG79_DROME,XBmRNA39598|XBXL10_1g21396
tr|Q7K490|Q7K490_DROME,XBmRNA41854|XBXL10_1g22481
tr|Q95U34|Q95U34_DROME,XBmRNA25058|XBXL10_1g13221
tr|Q94533|Q94533_DROME,XBmRNA19092|XBXL10_1g10207
sp|Q9VMD5|MBOA7_DROME,XBmRNA59667|XBXL10_1g31551
sp|Q9VPH8|RBBP5_DROME,XBmRNA18288|XBXL10_1g9778
sp|Q9VM95|AATF_DROME,XBmRNA18448|XBXL10_1g9875
tr|Q960G1|Q960G1_DROME,XBmRNA43592|XBXL10_1g23357
sp|Q9VPR4|NLE_DROME,XBmRNA19109|XBXL10_1g10220
tr|Q9VMI5|Q9VMI5_DROME,XBmRNA60815|XBXL10_1g32283
sp|Q9VQC4|GLCTK_DROME,XBmRNA36771|XBXL10_1g19876
tr|Q9V9S9|Q9V9S9_DROME,XBmRNA53488|XBXL10_1g28457
sp|O46080|SMG9_DROME,XBmRNA63919|XBXL10_1g33851
tr|Q9VWW1|Q9VWW1_DROME,XBmRNA45270|XBXL10_1g24191
tr|Q9VA79|Q9VA79_DROME,XBmRNA6563|XBXL10_1g3589
tr|O96660|O96660_DROME,XBmRNA25486|XBXL10_1g13431
sp|A1Z8E9|BBS4_DROME,XBmRNA29741|XBXL10_1g15923
sp|Q9W3M9|HDM_DROME,XBmRNA78121|XBXL10_1g41400
tr|Q9VW68|Q9VW68_DROME,XBmRNA77440|XBXL10_1g41045
tr|A1A714|A1A714_DROME,XBmRNA41026|XBXL10_1g22068
tr|Q9VFZ4|Q9VFZ4_DROME,XBmRNA69802|XBXL10_1g37009
tr|Q9VP85|Q9VP85_DROME,XBmRNA77770|XBXL10_1g41215
tr|A1Z830|A1Z830_DROME,XBmRNA59214|XBXL10_1g31305
tr|Q9VG62|Q9VG62_DROME,XBmRNA34239|XBXL10_1g18597
tr|M9PI97|M9PI97_DROME,XBmRNA51637|XBXL10_1g27534
sp|Q9VWQ2|S6KL_DROME,XBmRNA12208|XBXL10_1g6513
sp|Q9V3A6|ERO1L_DROME,XBmRNA67795|XBXL10_1g35886
tr|A0A0B4KI55|A0A0B4KI55_DROME,XBmRNA48773|XBXL10_1g26066
tr|Q7K1D7|Q7K1D7_DROME,XBmRNA67422|XBXL10_1g35713
sp|P41572|6PGD_DROME,XBmRNA58339|XBXL10_1g30894
tr|Q9VEP6|Q9VEP6_DROME,XBmRNA36470|XBXL10_1g19714
sp|Q9V3K3|RUVB2_DROME,XBmRNA60086|XBXL10_1g31839
tr|Q9VIZ2|Q9VIZ2_DROME,XBmRNA70997|XBXL10_1g37603
sp|Q8MT08|DRC4_DROME,XBmRNA39363|XBXL10_1g21273
tr|M9PET5|M9PET5_DROME,XBmRNA20468|XBXL10_1g10887
tr|Q7JUM3|Q7JUM3_DROME,XBmRNA11987|XBXL10_1g6376
tr|Q9V3N5|Q9V3N5_DROME,XBmRNA6116|XBXL10_1g3356
sp|Q9VHY5|TAF7_DROME,XBmRNA65694|XBXL10_1g34749
sp|Q9W552|VPS26_DROME,XBmRNA58433|XBXL10_1g30937
tr|Q9VNE3|Q9VNE3_DROME,XBmRNA984|XBXL10_1g732
sp|Q9W3C2|NOP53_DROME,XBmRNA67258|XBXL10_1g35628
tr|Q8MT58|Q8MT58_DROME,XBmRNA55293|XBXL10_1g29412
tr|Q6NL44|Q6NL44_DROME,XBmRNA80421|XBXL10_1g42778
tr|Q8SYM5|Q8SYM5_DROME,XBmRNA4431|XBXL10_1g2540
sp|Q8SYS7|NARF_DROME,XBmRNA82845|XBXL10_1g44039
tr|Q8IMV0|Q8IMV0_DROME,XBmRNA13931|XBXL10_1g7394
tr|Q8STG9|Q8STG9_DROME,XBmRNA36974|XBXL10_1g19980
sp|O61267|LOK_DROME,XBmRNA4537|XBXL10_1g2597
sp|O46036|CTBP_DROME,XBmRNA6626|XBXL10_1g3629
sp|O02373|UGDH_DROME,XBmRNA22631|XBXL10_1g12135
sp|Q7JVA5|CEP89_DROME,XBmRNA34752|XBXL10_1g18851
sp|Q24208|IF2G_DROME,XBmRNA12407|XBXL10_1g6616
tr|Q9VKZ8|Q9VKZ8_DROME,XBmRNA52278|XBXL10_1g27835
tr|Q9VC52|Q9VC52_DROME,XBmRNA69633|XBXL10_1g36932
sp|P21521|SY65_DROME,XBmRNA59608|XBXL10_1g31537
tr|Q9VY45|Q9VY45_DROME,XBmRNA34050|XBXL10_1g18507
tr|Q9W2Y4|Q9W2Y4_DROME,XBmRNA39402|XBXL10_1g21295
sp|O61613|NMT_DROME,XBmRNA79690|XBXL10_1g42413
sp|Q9VIP2|PYRD1_DROME,XBmRNA21323|XBXL10_1g11356
tr|Q9VFF0|Q9VFF0_DROME,XBmRNA24110|XBXL10_1g12791
tr|M9PEQ7|M9PEQ7_DROME,XBmRNA58270|XBXL10_1g30864
tr|Q9VBA1|Q9VBA1_DROME,XBmRNA55881|XBXL10_1g29691
tr|Q9VHF0|Q9VHF0_DROME,XBmRNA62329|XBXL10_1g33010
tr|Q9VLG9|Q9VLG9_DROME,XBmRNA14190|XBXL10_1g7552
tr|Q9VZP2|Q9VZP2_DROME,XBmRNA80617|XBXL10_1g42895
tr|Q9VFE9|Q9VFE9_DROME,XBmRNA35367|XBXL10_1g19130
tr|Q9W1H8|Q9W1H8_DROME,XBmRNA49208|XBXL10_1g26330
sp|Q9V3J1|VATH_DROME,XBmRNA52442|XBXL10_1g27935
tr|Q6NR46|Q6NR46_DROME,XBmRNA4044|XBXL10_1g2190
tr|Q9W2E4|Q9W2E4_DROME,XBmRNA51457|XBXL10_1g27440
sp|A1Z746|KMO_DROME,XBmRNA43362|XBXL10_1g23266
tr|Q7K4Q9|Q7K4Q9_DROME,XBmRNA10767|XBXL10_1g5761
sp|Q9W107|SYYM_DROME,XBmRNA21473|XBXL10_1g11444
sp|Q7K486|ARMC6_DROME,XBmRNA3380|XBXL10_1g1898
sp|Q9W265|HOT_DROME,XBmRNA55696|XBXL10_1g29586
tr|Q9VL60|Q9VL60_DROME,XBmRNA4260|XBXL10_1g2437
sp|O76464|NFT1_DROME,XBmRNA73170|XBXL10_1g38791
tr|Q9VS33|Q9VS33_DROME,XBmRNA82866|XBXL10_1g44054
sp|O61305|DDX19_DROME,XBmRNA60733|XBXL10_1g32238
sp|Q24169|ORC5_DROME,XBmRNA52648|XBXL10_1g28029
tr|Q9VDZ7|Q9VDZ7_DROME,XBmRNA7945|XBXL10_1g4279
sp|Q9VNS0|MAEL_DROME,XBmRNA11458|XBXL10_1g6129
sp|A1Z8D0|PWP1_DROME,XBmRNA28154|XBXL10_1g15097
tr|X2JB52|X2JB52_DROME,XBmRNA67338|XBXL10_1g35662
sp|P23128|DDX6_DROME,XBmRNA62847|XBXL10_1g33308
tr|Q9W102|Q9W102_DROME,XBmRNA76345|XBXL10_1g40581
tr|X2JGL7|X2JGL7_DROME,XBmRNA12483|XBXL10_1g6657
tr|Q7K4T8|Q7K4T8_DROME,XBmRNA43865|XBXL10_1g23497
tr|Q9VZY9|Q9VZY9_DROME,XBmRNA35647|XBXL10_1g19286
tr|Q9W1D1|Q9W1D1_DROME,XBmRNA48208|XBXL10_1g25783
tr|A0A0B4LGH8|A0A0B4LGH8_DROME,XBmRNA55493|XBXL10_1g29495
sp|Q8IRE4|TRM5_DROME,XBmRNA68074|XBXL10_1g35996
sp|Q9W379|ZPR1_DROME,XBmRNA58853|XBXL10_1g31108
tr|A8DY65|A8DY65_DROME,XBmRNA69212|XBXL10_1g36689
tr|Q9VJ28|Q9VJ28_DROME,XBmRNA67747|XBXL10_1g35853
tr|Q3ZAN1|Q3ZAN1_DROME,XBmRNA11501|XBXL10_1g6156
tr|A1ZA22|A1ZA22_DROME,XBmRNA35412|XBXL10_1g19150
sp|P42003|MAD_DROME,XBmRNA1576|XBXL10_1g1016
sp|Q9VT57|CDK8_DROME,XBmRNA20661|XBXL10_1g10991
tr|Q9VTM2|Q9VTM2_DROME,XBmRNA12242|XBXL10_1g6535
tr|Q9VEV2|Q9VEV2_DROME,XBmRNA51533|XBXL10_1g27470
tr|Q9VPU0|Q9VPU0_DROME,XBmRNA14302|XBXL10_1g7618
sp|O16129|SYFM_DROME,XBmRNA51783|XBXL10_1g27597
sp|Q9VLJ8|MOCS3_DROME,XBmRNA43315|XBXL10_1g23244
sp|Q9W1V7|ZN277_DROME,XBmRNA23746|XBXL10_1g12664
sp|P17276|PH4H_DROME,XBmRNA23287|XBXL10_1g12451
sp|Q9VU41|ZMY10_DROME,XBmRNA36731|XBXL10_1g19851
tr|Q9V3H0|Q9V3H0_DROME,XBmRNA63249|XBXL10_1g33518
tr|Q8SXC2|Q8SXC2_DROME,XBmRNA35904|XBXL10_1g19423
sp|Q9V6U8|UBA3_DROME,XBmRNA37201|XBXL10_1g20083
sp|Q9VNI3|HPF1_DROME,XBmRNA1391|XBXL10_1g922
sp|Q24319|OST48_DROME,XBmRNA64098|XBXL10_1g33984
sp|Q9V7W1|PIGV_DROME,XBmRNA18541|XBXL10_1g9922
tr|Q7K3M9|Q7K3M9_DROME,XBmRNA75905|XBXL10_1g40371
tr|Q9VM22|Q9VM22_DROME,XBmRNA34605|XBXL10_1g18767
tr|Q9VL89|Q9VL89_DROME,XBmRNA23455|XBXL10_1g12539
sp|Q9VMY9|GUAD_DROME,XBmRNA3841|XBXL10_1g2099
sp|P17133|RU17_DROME,XBmRNA63754|XBXL10_1g33756
sp|Q9VAG4|VP16B_DROME,XBmRNA67459|XBXL10_1g35731
sp|P56079|CDS_DROME,XBmRNA28884|XBXL10_1g15459
tr|M9PER1|M9PER1_DROME,XBmRNA77308|XBXL10_1g40979
sp|Q9Y0Y2|PURA_DROME,XBmRNA67995|XBXL10_1g35955
tr|Q9VXT0|Q9VXT0_DROME,XBmRNA37034|XBXL10_1g20018
tr|Q9VUN7|Q9VUN7_DROME,XBmRNA55962|XBXL10_1g29737
tr|Q7KVB0|Q7KVB0_DROME,XBmRNA11717|XBXL10_1g6245
tr|Q9VEE9|Q9VEE9_DROME,XBmRNA77422|XBXL10_1g41039
sp|P18931|NU4M_DROME,XBmRNA101833|XBXL10_1g44454
tr|Q9VMH4|Q9VMH4_DROME,XBmRNA46135|XBXL10_1g24717
sp|Q9VLC1|FUCTB_DROME,XBmRNA2598|XBXL10_1g1488
sp|Q94899|CSN2_DROME,XBmRNA29347|XBXL10_1g15710
tr|Q9VLB7|Q9VLB7_DROME,XBmRNA64299|XBXL10_1g34092
tr|Q9VYD5|Q9VYD5_DROME,XBmRNA21354|XBXL10_1g11363
sp|Q9VZS6|NSMA_DROME,XBmRNA18137|XBXL10_1g9708
tr|Q9Y162|Q9Y162_DROME,XBmRNA55002|XBXL10_1g29268
tr|Q8SX24|Q8SX24_DROME,XBmRNA36003|XBXL10_1g19477
tr|Q9VDL4|Q9VDL4_DROME,XBmRNA51169|XBXL10_1g27311
tr|Q9VSE8|Q9VSE8_DROME,XBmRNA14514|XBXL10_1g7699
tr|O76896|O76896_DROME,XBmRNA28231|XBXL10_1g15142
tr|Q7JRD4|Q7JRD4_DROME,XBmRNA42684|XBXL10_1g22904
sp|P30052|SCAL_DROME,XBmRNA63700|XBXL10_1g33724
tr|A0A4D6K823|A0A4D6K823_DROME,XBmRNA78834|XBXL10_1g41879
tr|Q0E8K5|Q0E8K5_DROME,XBmRNA38844|XBXL10_1g21003
sp|P48601|PRS4_DROME,XBmRNA70545|XBXL10_1g37375
tr|Q9VHB8|Q9VHB8_DROME,XBmRNA67245|XBXL10_1g35619
tr|Q8IPS4|Q8IPS4_DROME,XBmRNA50348|XBXL10_1g26892
sp|Q9VKJ0|HGD_DROME,XBmRNA11338|XBXL10_1g6074
tr|Q7KTS4|Q7KTS4_DROME,XBmRNA31126|XBXL10_1g16578
sp|Q24317|PRI1_DROME,XBmRNA20207|XBXL10_1g10742
tr|Q9VMN3|Q9VMN3_DROME,XBmRNA67744|XBXL10_1g35851
sp|Q9VPH7|ERF1_DROME,XBmRNA28350|XBXL10_1g15202
tr|Q9VNF5|Q9VNF5_DROME,XBmRNA54584|XBXL10_1g29013
tr|Q9VNP8|Q9VNP8_DROME,XBmRNA10460|XBXL10_1g5580
sp|O61492|FLOT2_DROME,XBmRNA12188|XBXL10_1g6497
tr|O62530|O62530_DROME,XBmRNA48004|XBXL10_1g25683
tr|A1Z9S8|A1Z9S8_DROME,XBmRNA6799|XBXL10_1g3735
sp|Q9VGR2|NDUF7_DROME,XBmRNA47281|XBXL10_1g25324
sp|P51406|BYS_DROME,XBmRNA18185|XBXL10_1g9729
tr|Q9VSM4|Q9VSM4_DROME,XBmRNA15462|XBXL10_1g8173
tr|Q9W4R9|Q9W4R9_DROME,XBmRNA74908|XBXL10_1g39811
tr|Q9VRE4|Q9VRE4_DROME,XBmRNA26840|XBXL10_1g14232
tr|Q9VJG2|Q9VJG2_DROME,XBmRNA73615|XBXL10_1g39028
sp|O77410|EIF3E_DROME,XBmRNA53044|XBXL10_1g28238
tr|Q9VMC0|Q9VMC0_DROME,XBmRNA75068|XBXL10_1g39911
tr|Q7KMQ0|Q7KMQ0_DROME,XBmRNA24107|XBXL10_1g12789
sp|Q9V438|PDIA6_DROME,XBmRNA45662|XBXL10_1g24391
sp|Q7K3D8|DMAP1_DROME,XBmRNA35464|XBXL10_1g19188
tr|Q9VMD4|Q9VMD4_DROME,XBmRNA2090|XBXL10_1g1271
sp|Q9VDZ4|NSUN5_DROME,XBmRNA12343|XBXL10_1g6594
sp|Q27580|SAHH_DROME,XBmRNA75126|XBXL10_1g39957
tr|Q9VL22|Q9VL22_DROME,XBmRNA76277|XBXL10_1g40548
sp|Q9NJH0|EF1G_DROME,XBmRNA33605|XBXL10_1g18233
sp|Q9VW26|OAT_DROME,XBmRNA56971|XBXL10_1g30259
tr|Q8IPY3|Q8IPY3_DROME,XBmRNA39714|XBXL10_1g21455
sp|Q9W088|DPOD2_DROME,XBmRNA25831|XBXL10_1g13593
tr|Q8IPQ6|Q8IPQ6_DROME,XBmRNA12233|XBXL10_1g6528
sp|Q24572|CAF1_DROME,XBmRNA19008|XBXL10_1g10176
tr|Q0KI98|Q0KI98_DROME,XBmRNA67859|XBXL10_1g35908
sp|Q9I7S8|PUR6_DROME,XBmRNA6968|XBXL10_1g3812
tr|O96880|O96880_DROME,XBmRNA11342|XBXL10_1g6076
sp|Q9VBV5|SIL1_DROME,XBmRNA68206|XBXL10_1g36065
tr|Q9VKU0|Q9VKU0_DROME,XBmRNA67765|XBXL10_1g35864
tr|Q9V3V6|Q9V3V6_DROME,XBmRNA32952|XBXL10_1g17838
tr|Q0KHR7|Q0KHR7_DROME,XBmRNA9848|XBXL10_1g5297
sp|Q9VPY8|TGT_DROME,XBmRNA31755|XBXL10_1g17131
tr|A0A0B4KGL2|A0A0B4KGL2_DROME,XBmRNA70609|XBXL10_1g37409
sp|Q9VJQ4|MCES_DROME,XBmRNA52085|XBXL10_1g27755
tr|O62531|O62531_DROME,XBmRNA2697|XBXL10_1g1524
tr|Q9V3T1|Q9V3T1_DROME,XBmRNA33766|XBXL10_1g18354
sp|O61491|FLOT1_DROME,XBmRNA72373|XBXL10_1g38305
sp|Q9VJ97|JMJD4_DROME,XBmRNA49941|XBXL10_1g26717
tr|Q4V3Z5|Q4V3Z5_DROME,XBmRNA53090|XBXL10_1g28266
tr|Q7K012|Q7K012_DROME,XBmRNA32309|XBXL10_1g17530
sp|Q9W415|WUHO_DROME,XBmRNA17403|XBXL10_1g9312
tr|Q9VCT9|Q9VCT9_DROME,XBmRNA20656|XBXL10_1g10988
sp|O77237|PELI_DROME,XBmRNA70171|XBXL10_1g37190
tr|Q9VZU8|Q9VZU8_DROME,XBmRNA51377|XBXL10_1g27400
tr|O61444|O61444_DROME,XBmRNA81106|XBXL10_1g43142
sp|Q7K284|CLP1_DROME,XBmRNA58161|XBXL10_1g30814
sp|Q7KLV9|PSD11_DROME,XBmRNA73863|XBXL10_1g39180
tr|Q9VVL0|Q9VVL0_DROME,XBmRNA79108|XBXL10_1g42075
sp|Q9VFJ3|HTRA2_DROME,XBmRNA6411|XBXL10_1g3492
tr|Q86P97|Q86P97_DROME,XBmRNA4605|XBXL10_1g2638
tr|Q8SX76|Q8SX76_DROME,XBmRNA51364|XBXL10_1g27389
tr|Q9VXQ8|Q9VXQ8_DROME,XBmRNA22378|XBXL10_1g11991
tr|Q9VSL9|Q9VSL9_DROME,XBmRNA72658|XBXL10_1g38465
tr|Q9VQK9|Q9VQK9_DROME,XBmRNA11404|XBXL10_1g6103
tr|Q9VVI1|Q9VVI1_DROME,XBmRNA77374|XBXL10_1g41013
tr|Q9VEV7|Q9VEV7_DROME,XBmRNA70074|XBXL10_1g37149
tr|Q7K4B2|Q7K4B2_DROME,XBmRNA33597|XBXL10_1g18228
sp|O97069|ASSY_DROME,XBmRNA64971|XBXL10_1g34412
tr|Q9VGN8|Q9VGN8_DROME,XBmRNA74859|XBXL10_1g39786
tr|Q9VMC6|Q9VMC6_DROME,XBmRNA26835|XBXL10_1g14227
sp|Q9VSA3|ACADM_DROME,XBmRNA35097|XBXL10_1g19023
tr|Q95RB1|Q95RB1_DROME,XBmRNA55074|XBXL10_1g29304
sp|Q9VSZ6|QTRT2_DROME,XBmRNA11407|XBXL10_1g6105
tr|Q9W3S4|Q9W3S4_DROME,XBmRNA41008|XBXL10_1g22058
sp|P32392|ARP3_DROME,XBmRNA81312|XBXL10_1g43254
tr|Q9VJ68|Q9VJ68_DROME,XBmRNA24783|XBXL10_1g13072
tr|Q9VZI8|Q9VZI8_DROME,XBmRNA25577|XBXL10_1g13464
tr|Q9VTN9|Q9VTN9_DROME,XBmRNA36531|XBXL10_1g19741
sp|Q9VR81|NAGA_DROME,XBmRNA77883|XBXL10_1g41277
tr|Q9VF85|Q9VF85_DROME,XBmRNA67335|XBXL10_1g35659
tr|A0A0B4K7Y4|A0A0B4K7Y4_DROME,XBmRNA23262|XBXL10_1g12435
tr|Q9V470|Q9V470_DROME,XBmRNA37210|XBXL10_1g20088
tr|Q9VY48|Q9VY48_DROME,XBmRNA75403|XBXL10_1g40090
tr|Q9VPE2|Q9VPE2_DROME,XBmRNA22380|XBXL10_1g11993
sp|Q27350|SO_DROME,XBmRNA70214|XBXL10_1g37214
sp|O16868|FUZZY_DROME,XBmRNA60009|XBXL10_1g31785
tr|Q9VJ72|Q9VJ72_DROME,XBmRNA62824|XBXL10_1g33302
sp|O16797|RL3_DROME,XBmRNA36440|XBXL10_1g19699
tr|O76928|O76928_DROME,XBmRNA26119|XBXL10_1g13733
tr|Q8SYM9|Q8SYM9_DROME,XBmRNA25986|XBXL10_1g13690
sp|P54366|GSC_DROME,XBmRNA9807|XBXL10_1g5275
tr|Q9VVU1|Q9VVU1_DROME,XBmRNA56981|XBXL10_1g30266
sp|P91622|PDK_DROME,XBmRNA12305|XBXL10_1g6571
tr|Q8IPZ3|Q8IPZ3_DROME,XBmRNA43885|XBXL10_1g23509
tr|Q9V405|Q9V405_DROME,XBmRNA60583|XBXL10_1g32160
tr|Q9VB10|Q9VB10_DROME,XBmRNA8507|XBXL10_1g4592
sp|Q9VXA0|NPRL2_DROME,XBmRNA41218|XBXL10_1g22167
tr|Q8T4A9|Q8T4A9_DROME,XBmRNA1721|XBXL10_1g1101
tr|Q7JZ37|Q7JZ37_DROME,XBmRNA68041|XBXL10_1g35982
sp|Q7KNS3|LIS1_DROME,XBmRNA17671|XBXL10_1g9473
tr|Q9W295|Q9W295_DROME,XBmRNA73462|XBXL10_1g38922
tr|Q9W3N9|Q9W3N9_DROME,XBmRNA20802|XBXL10_1g11052
sp|Q9VWD6|OSGP2_DROME,XBmRNA77279|XBXL10_1g40961
sp|Q9U6M0|ECSIT_DROME,XBmRNA31818|XBXL10_1g17165
tr|Q9VK30|Q9VK30_DROME,XBmRNA58724|XBXL10_1g31060
tr|Q9VN16|Q9VN16_DROME,XBmRNA662|XBXL10_1g602
tr|Q9VSZ5|Q9VSZ5_DROME,XBmRNA29230|XBXL10_1g15644
tr|Q9VGW9|Q9VGW9_DROME,XBmRNA35638|XBXL10_1g19281
tr|Q9W5E2|Q9W5E2_DROME,XBmRNA50452|XBXL10_1g26939
sp|P40320|METK_DROME,XBmRNA28830|XBXL10_1g15426
